Date,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2015-08-05,0.0024209557933472133,5767.012687427912,0.003547608911593586,0.2298850574712644,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,121.5953307392996,101.75,7.4747,1086.99,269.69,0.9308,2.972,7.7531,50.759,119.79,6.6578,1.3281,3.8572,8.2567,1.2068,11.921,15.1148,63.7008,24.489,6.2078,604.5,3.606,2.6932,0.8926180487369454,1.3358268768367618,0.6470816617057072,1.2615112905260504
2015-08-06,0.0024209557933472133,5934.718100890208,0.003589633139493144,0.24630541871921185,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,124.62612163509472,101.8,7.8075,1117.87,277.44,0.927,3.1124,7.7514,55.995,124.47,6.6046,1.3527,3.8437,8.2953,1.241,12.4719,15.6255,63.9369,24.253,6.2073,630.4,3.6975,2.7483,0.885661146045523,1.400364094664613,0.6515506906437321,1.2988699831146902
2015-08-07,0.0024209557933472133,5941.770647653001,0.003576793762071679,0.23752969121140144,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,122.66928361138372,101.69,8.217,1134.53,286.82,0.9452,3.2335,7.7518,57.395,120.7,6.7355,1.3491,3.7879,8.4624,1.2744,12.5725,15.843,63.4495,24.487,6.2219,651.86,3.824,2.6873,0.9029345372460498,1.4869888475836432,0.6510840549514942,1.3464386697185942
2015-08-08,0.0024209557933472133,6317.119393556538,0.0038314176245210726,0.2597402597402597,1.0,1.3274923669188903,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,117.9801793298726,104.42,8.2343,1193.96,279.63,0.9784,3.8185,7.7502,68.014,119.78,6.6599,1.4177,3.8959,8.4032,1.3204,13.7096,16.8238,66.2836,24.133,6.4536,690.53,3.767,3.0101,0.892936869363336,1.576789656259855,0.6495615459564793,1.42571998859424
2015-08-09,0.0024209557933472133,6180.469715698393,0.0037724460540214276,0.25641025641025644,1.0,1.4247043738424277,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,113.53315168029064,104.42,8.2343,1193.96,279.63,0.9784,3.8185,7.7502,68.014,119.78,6.6599,1.4177,3.8959,8.4032,1.3204,13.7096,16.8238,66.2836,24.133,6.4536,690.53,3.767,3.0101,0.892936869363336,1.576789656259855,0.6495615459564793,1.42571998859424
2015-08-10,0.0024209557933472133,6249.999999999999,0.003781147200060498,0.2531645569620253,1.0,1.411631846414455,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,114.28571428571428,104.44,8.1396,1151.98,276.04,0.9661,3.7832,7.7495,61.35,119.91,6.6164,1.4043,3.8482,8.2445,1.3015,13.2939,16.4573,64.8087,24.06,6.3396,677.1,3.7447,2.8925,0.8866820358219543,1.5010507355148603,0.6517205422314911,1.37797988149373
2015-08-11,0.0024209557933472133,6108.7354917532075,0.0036983616257997708,0.24038461538461536,1.0,0.9345794392523364,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,116.40088464672331,103.65,8.7683,1179.49,287.95,0.9919,3.7947,7.7497,69.45,122.9,6.8491,1.4083,3.8631,8.5101,1.3583,14.5929,17.022,66.8472,24.8,6.4862,705.77,3.9868,2.9092,0.9180207472688884,1.5055706112616682,0.666400106624017,1.386193512614361
2015-08-12,0.0024209557933472133,6238.303181534623,0.0037540355882573766,0.2506265664160401,1.0,0.819672131147541,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,120.90436464756377,103.65,8.7683,1179.49,287.95,0.9919,3.7947,7.7497,69.45,122.9,6.8491,1.4083,3.8631,8.5101,1.3583,14.5929,17.022,66.8472,24.8,6.4862,705.77,3.9868,2.9092,0.9180207472688884,1.5055706112616682,0.666400106624017,1.386193512614361
2015-08-13,0.0024209557933472133,6397.952655150351,0.00378673129354741,0.2577319587628866,1.0,0.5464480874316939,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,122.74456855284154,101.75,8.2174,1177.51,277.72,0.976,3.5181,7.7557,64.7343,124.41,6.6936,1.3963,3.7905,8.4756,1.3055,12.806,16.4006,65.1929,24.209,6.4608,684.9,3.7455,2.819,0.897021887334051,1.5220700152207,0.6407381303261357,1.3596193065941535
2015-08-14,0.0024209557933472133,6341.154090044388,0.0037639265281541705,0.24813895781637715,1.0,0.5464480874316939,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,119.94722322178241,101.75,8.2345,1178.33,279.39,0.9758,3.4834,7.7556,64.858,124.3,6.7177,1.4062,3.7722,8.5055,1.3086,12.8216,16.3687,65.1185,24.302,6.4519,684.31,3.7624,2.832,0.9004141905276427,1.5299877600979193,0.6392635683692386,1.3570362328674175
2015-08-15,0.0024209557933472133,6459.948320413437,0.003823360734085261,0.2544529262086514,1.0,0.591715976331361,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,118.76484560570071,101.88,8.21,1182.36,278.98,0.9791,3.4797,7.7547,65.303,124.38,6.7371,1.4075,3.825,8.5331,1.3077,12.902,16.4259,65.4262,24.371,6.4435,691.15,3.7614,2.8673,0.9025270758122743,1.5220700152207,0.6417661404184315,1.3575889220743957
2015-08-16,0.0024209557933472133,6770.480704129993,0.003868322308614754,0.2531645569620253,1.0,0.6369426751592356,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,120.26458208057728,101.88,8.21,1182.36,278.98,0.9791,3.4797,7.7547,65.303,124.38,6.7371,1.4075,3.825,8.5331,1.3077,12.902,16.4259,65.4262,24.371,6.4435,691.15,3.7614,2.8673,0.9025270758122743,1.5220700152207,0.6417661404184315,1.3575889220743957
2015-08-17,0.0024209557933472133,6662.225183211193,0.003876269478254128,0.25125628140703515,1.0,0.8333333333333334,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,120.46741356463077,101.88,8.21,1182.36,278.98,0.9791,3.4797,7.7547,65.303,124.38,6.7371,1.4075,3.825,8.5331,1.3077,12.902,16.4259,65.4262,24.371,6.4435,691.15,3.7614,2.8673,0.9025270758122743,1.5220700152207,0.6417661404184315,1.3575889220743957
2015-08-18,0.0024209557933472133,7468.259895444361,0.004737540269092287,0.2881844380403458,1.0,0.9174311926605504,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,132.41525423728814,101.89,8.2803,1185.07,280.2,0.9766,3.4678,7.7543,65.8175,124.39,6.7715,1.403,3.8519,8.5512,1.3057,12.8965,16.39,65.4437,24.497,6.4394,693.59,3.7732,2.8923,0.907605736068252,1.515840533575868,0.6387327542156361,1.362769146906514
